Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10
SARL AMMARISTORES;CITE GARIDIA LOGTS B 10 BT 13 CB-2B;ALGER;Algerie;0561675398/0561675380;;;;;
SARL ASCENSEURS OMEGA ALGERIE;ZONE INDUSTRIELLE NEDJEMA B.P 50 SIDI CHAHMI ORAN;ORAN;Algerie;023.88.46.22/0560.98.13.84;041.28.96.75;com mercial-alg@ascenceur-omega. com/omega, ascenseur.alg@gmail.com;;;
SARL ASTALAVISTA;CENTRE COMMERCIAL ET DAFFAIRES MOHAMMADIA MALL LE LIDO;ALGER;Algerie;023.80.44.83/483;023.804.485;marketing@astalavista-dz.com/astalavista-dz.com;www.astalavista-dz.com;;
SARL ASTIMO;CITE 40 VILLAS NUMERO 27 COMMUNE TIBESSBEST W.OUARGLA;OUARGLA;Algerie;0555.09.0.     24/0555.09.00.33;;SARLESTIMO@OUTLOOK.FR;;;
SARL A TIA DISTRIBUTIONINDUSTREIELLE (ADI);48 Lot Djillali 02 Staoueli;ALGER;Algerie;021-39-13-05;021-36-57-74/39-19-05;atia16-sarl@hotmail.com;;;
SARL A YMEN PROMOTION HABITA T;COOPERATIVE EM MERSA LIDO CITE BAHA ILOT N°72 SECTION N°6 LOT N°4 EL MOHAMMADIA ALGER;ALGER;Algerie;023.545.171/0560.06.34.84;023.54.51.44;s.ouabdi@aymenprotion.com/ contact@aymenpromotion.com;;;
SARL BADAOUIETCIEIMP/EXP;KASRA ALABTAL CENTRE W.SETIF;SETIF;Algerie;0770 59 05 33/0560.94.46.09;;;;;
SARL BAIZID GLASS;MEFTAH;;Algerie;0561 67 29 21 ;;baizid.glass@hotmail.com;;;
SARL BA OS EM;COOP RADI HAMIDA VILLA N°65 DAR EDIAF;ALGER;Algerie;021-36-07-97;021-36-07-97;;;;
SARL BASF CONSTRUCTION CHEMICALS ALGERIA;ZONE INDUSTRIELLE BABA ALI , DIST 03,ILOT 03 SAOULA- ALGER;ALGER;Algerie;023.58.99.58;023.58.99.49;bakir.guettab@basf.com;;;Mme.LAMDANI 0770.94.60.17
SARL BENKHELFELLAH;ZONE INDUSTRIELLE TRANCHE N°F SIDI CHAHMI W.ORAN;BLIDA;Algerie;0561.94.09.70;;SARAH.CAPS.IMPOREXPORT@GMAIL.COM;;;
SARL BEST A POMPE;CITE BEN AMOUR ROUTE NATIONAL N° 01 BPN°75 - OULED YAICH;BLIDA;Algerie;25         27 08 68;02527 05 93;;;;
SARL BETA CHEMICAL MATERIALS;RUE OHEGHNOUNE TAYEB 113 N 01 GUEROUAOU;BLIDA;Algerie;;;;;;
SARL BETONMACHINERY CONCEPT;5       RUE VICTOR HUGO SIDI MHAMED;ALGER;Algerie;05.52.0.          41.41 ;;direction_bmc@hotmail.com;;;
"SARL BIAMOBENOUA TAS ""GROUPEBENOUA TAS""";ROUTE N°5 LACHBOURW.BORDJ BOU ARRERIDJ;BORDJ-BOU-ARRERIDJ;Algerie;0560.96.90.94/0561.81.97.39 ;035 76 50 72;biamo34@gmail.com / com mercial@biamo-dz.com ;www.biamo-dz.co;;
SARL BISA TELECTRONIC;ZAMAM RAMDANE LOT N° 21 EL HAMIZ DAR EL BEIDA;ALGER;Algerie;0659 10 14 38/0699 46 34 12 ;;commercial@bisetplus.com;;;
SARL BOULABEBOULONS;LOT 222-223 CITE LES ORANGERS EL HAMIZ D.E.B ALGER;ALGER;Algerie;023.85.66.97;023.85.67.01;info@boulab.com;M. SEBA SALAH/070.96.10.41;;
SARL BRICOPORTES;15 ROUTE NATIONALE DELY BRAHIM ALGER;ALGER;Algerie;0552 91 94 95 ;;sito-ha@hotmail.com;;;
SARL BUREAU OFFICE;34 CITE DES ROSES IMAMA;TLEMCEN;Algerie;0550.16.56.98/99;043.21.50.22;europlak.algerie@gmail.com;;;
SARL CABLE STAR;15 RUE REZIG AHMED ROUIBA ALGER;ALGER;Algerie;023.85.52.43;023.85.52.15;cablestar2010@hotmail.fr;;;
SARL CANA LUXBBA;VIEUX BORDJ N 17 SE 85 ILOT PROP41;ALGER;Algerie;035 73 93 32;035 73 93 32;;;;
SARL CAPROMET;07 RUE EL AHRAM N°02 ANNABA;ANNABA;Algerie;0553.20.18.60;038.83.58.76/031.63.14.60/61.32.07/038.52.33.99 ;sofbine@gmail.com;;;
SARL CENTREEALGERIE;09 BOULEVARD DE LA SOUMMAM BEJAIA 06000;BEJAIA;Algerie;0661.31.91.22/0553.32.16.14;034.22.06.89;valpint.algerie@gmail.com;;;
SARL CERAM DECOR;ZONE INDUSTRIELLE DRAA BEN SABAH N°32 TAOULT 05100 BATNA;BATNA;Algerie;030.36.10.20/0661.34.50.50;030.36.10.10;ceramdecor.commercial@gmail.com;;;
SARL CERAMSEKPLUS;Z D 6 EME TRANCHE LOT N 12;SETIF;Algerie;;;;;;
SARL CHEMICAL INNOVA TION;OULED BOUTOLA LOCAL N° 04 BOUIRA;BOUIRA;Algerie;0556 28 30 34; 026 72 41 09;novachem .alg@gmail.com;;;
SARL CIOMAT;11 BD AMIROUCHE TIZI OUZOU 15000;TIZI-OUZOU;Algerie;026.412.578/579 ;026 41 25 91;contact@ciomatgroupe.com;;;
SARL CIPAL;ZONE INDUSTRIELLE KHMIS EL KHACHNA;BOUMERDES;Algerie;024 97.60.45/0770.81.61.43;024.97.60.45;contact@cipal_dz.com;;;
SARL CIRTACHIMIE;17 CITE EZZOUHOUR ROUTE DE BATNA W.CONSTANTINE;CONSTANTINE;Algerie;031 60 71 47;031 60 71 47;CIRTACHIMIE@HOTMAIL.FR;;;
SARL CLIMA THYD IMPORT/EXPORT;COOPERATIVE IMMOBILIERE ETADAMOUNE GP 181 LOT 18 B.BA;BORDJ-BOU-ARRERIDJ;Algerie;035.74.03.00/0770.88.12.24 ;;climathyd34@gmail.com;;;
SARL CODIM;ROUTE NATIONALE N°5 EL- HAMIZ . DAR - EL- BEIDA . ALGER.;ALGER;Algerie;021.75.54.11/021.75.54.15;021.75.54.15;codim.sarl@yahoo.fr/ info@codim-dz.com www.codim-dz.com;M.DJOUADI ALI /;;
SARL CROWNEQUPEMENTS INDUS RIELS;31      CITE LARBI BEN M'HIDI AIN MLILA 04300, OUM EL BOUAGHI ;OUM-EL-BOUAGHI;Algerie ;OUM-EL-BOUAGHI;032 5 00 33;crown34@outlook.fr;;;
SARL DECO YALITIM;1200 LOGTS LPP 435 BT22 LOCAL N°2 SID ALGER;ALGER;Algerie;0770.88.48.49/0770.88.21.27;;;;;
SARL DEKA ALGERIE;ZONE D'ACTIVITE OUED GHIR W.BEJAIA;BEJAIA;Algerie;0550.69.11.46;;;;;
SARL DESIGNDEMADERA;ILOT N°399 SECTION 1er ETAGE BT N°15 OULED FAYET ALGER;ALGER;Algerie;0554 82 78 41/0550 19 08 80 ;;d.djeroudib@designmadera;;;
SARL DISTRAMCONSTRUCTION;COOPERATIVE EL FETH EX CHEMIN DU KADDOUS BIR MOURAD RAIS VILLA N°23 SAID HAMDINE ALGER;ALGER;Algerie;023.59.81.57;023.59.81.34;;;;
SARL DISTRIBUTIONELECTRAL;04 ALLEES BENBOULAID 05000 BATNA;BATNA;Algerie;0338 03 94/0661 58 69 26 ;033 80 39 04;;;;
SARL ECRAL;ZONE MULTI SERVICES AIN EL BEY N° 04 EL KHROUB CONSTANTINE;CONSTANTINE;Algerie;0560.36.71.73;031 74 12 90;bureau.ecral@gmail.com;;;
SARL EDIFTECH ETUDE ET REA LISA TION;CITE ELFEDJ N°786D 1ER NOVEMBRE W.CONSTANINE;CONSTANTINE;Algerie;0560.63.54.11/0560.63.54.89;;;;;
SARL EFM;CHATER BACHE BP N°68 AHMER EL AIN;TIPAZA;Algerie;020 54 00 33/020 54 05 24;020.54.05.25;tedjinihatem@gmail.com;;;
SARL ELEVA TOR ENGINEERING & EQUIPEMENT;COOPERATIVE ASMA N2 BIRKHADEM ALGER;ALGER;Algerie;0671.52.42.51;;O.ARIBA@EE-E.CO/JOSEPH@EE-E.CO;;;
SARL ENADJAH;ROUTE NATIONALE N 29 LOT 04 GROUPE N 74 LARBATACHE;BOUMERDES;Algerie;0555 00 23 47;;;;;
SARL ENTRELEC;LOT N 01 NOUDJOUM BOUMERDES 35000;ALGER;Algerie;024 94 63 73;024 94 61 44;;;;
SARL EOIS;BOULVARDE MOHAMED NAILI ALGER;ALGER;Algerie;0699 20 21 10 ;021 23 77 44;;;;
SARL ETPTOURAHMOUNE;CITE MERIEM BERAKI N°27 SECTION 03 ILOT 48BERAKI ALGER   ;ALGER;Algerie;0661.288.188 ;024.74.08.87;;;;
SARL EXIMPRO;CITE AIN ALLAH VILLA N° 25 DELY BRAHIM ALGER ALGERIE;ALGER;Algerie;023 31 22 17;021 36 34 66;eximprozaki@gmail.com;;;
SARL F.B.E.B.;SIEGE SOCIAL CITE BOUSNAKI D N°181 BAB EZZOUAR ALGER;ALGER;Algerie;0661 672 603/031.481.648;031.481.649;sarlfebe@hotmail.com;;;
SARL FALKON ALUMINIUM ALGERIA;DJENNANE TEBIB N 03 388 SEC 02 BIR KHADEM;ALGER;Algerie;;;;;;
SARL FAPOBENAS;19 EGZIB BIRTOUTA ALGER;ALGER;Algerie;025.29.82.82;025.29.82.82;info@fapobenas.com;;;
SARL FIEP;LOT 01 ET 02 CITE BRANCI RN N°05 Z.l ROUIBA ALGER;ALGER;Algerie;023 87 37 20/ 11 ;023 87 37 17 ;;infodachir-dz.com;;
SARL FORTIS;11 CHEMIN DOUDOU MOKHTAR BEN AKNOUN ALGER;ALGER;Algerie;0542.22.22.21;023.38.13.61;lalane@exelsaholding.com;;;
SARL FRERES MEL IZI IMPORT/EXPORT;Z.l EXTENION LOT N°73 ET 75 W.SETIF;SETIF;Algerie;0554.86.68.51;;FMK.INDUSTRIE@GMAIL.COM;;;
SARL GEPLOMB;54.LOT LES ORANGRS.HAMIZ DAR EL BE I DA;ALGER;Algerie;021..86.04.72;021.86.99.93;;;;
SARL GKMC IMP-EXP;ZONE D'ACTIVITE 5 eme TRANCHE N°81 SETIF ALGERIE;SETIF;Algerie;036 83 90 63;;gkmc1900@gmail.com;;;
SARL GLASS DESIGN;ZONE D'ACTIVITE 100 LOTS ROUTE DE M'SILA W.BBA;BORDJ-BOU-ARRERIDJ;Algerie;035 87 31 25/86/90 ;035 87 31 86/90 ;sarlglassdesign@yahoo.fr;;;
SARL GLASS DESIGN VITRAGE;ZONE D'ACTIVITE 100 LOTS BBA;BORDJ-BOU-ARRERIDJ;Algerie;035 87 3110/09 ;035 87 31 10/09;;;;
S/1 RL GL OB ALE L OGIS TIQUE SER VICES A LGERIE;CITE ELI KHODJA N°127 BEAULIEU OUED SMAR ;ALGER;Algerie;;;Algerie klassouani@gmail.com;;;
SARL GRAFIL;ZONE INDUSTRIELLE BORDJ -BOUARERIDJ 34000;BORDJ-BOU-ARRERIDJ;Algerie;035 87 38 97;035 87 38 96;MARKETING@GRAFIL.DZ/MARKETING@GRAFILDZ;;;
SARL GRALCOME;LOT 25 ZONE INSUSTRIELLE MOUILHA 35011 OULED MOUSSA W.BOUMERDES;BOUMERDES;Algerie;0560 02 46 04/0560 09 32 31 ;;zakaria.touazi@gralcome.com;;;
SARL GROUPEABC;SECTION 09 GROUPE 250 ROSFA W.SETIF;SETIF;Algerie;036.57.87.38;036.57.87.40;CONTACT@SARLGROUPEABC.COM;;;
SARL GROUPEAGOUNE;EL HACHAICHIA MEZLOUG SETIF;SETIF;Algerie;036 69 33 40/05 ;036 69 33 60;groupe.agoune@gmail.com;;;
SARL GROUPEINDUSTRIEL SIDIBENDEHIBA;ZONE D'ACTIVITE MESRA BP 225 W. MOSTAGANEM;MOSTAGANEM;Algerie;045 48 90 27/0561.688.771/045.48.90.29-30 ;045 48 90 90045 48 33 95 ;contact@gisb.dz;;;
SARL HOWSOL PANINGENIERIEETCOMMERCE;320 VILLA PARC OMAR KOUBA ALGER;ALGER;Algerie;0661.52.89.43-44 ;;howsolpan algerie @gmail.com;;;
SARL HU AM INDUSTRIES;15 RUE MUSTAPHA BEN BOULAID ALGER CENTRE;ALGER;Algerie;021 73 60 95;021 73 60 95;youcef_belkhala@hotmail.com;;;
SARL IAGM;ZONE D'ACTIVITE FREHA TIZI OUZOU;TIZI-OUZOU;Algerie;0550 67 92 48/0661.72.33.89 ;026 41 34 00 ;iagm@hotmail.fr;;;
SARL IETINGENIERIE ET COMMERCE;COLLINE MOUHOUS LOT N 02 SEC 02 16032;ALGER;Algerie;0661 52 89 43/44;;;;;
SARL ILB;COOPERATIVE IMMOBILIERE EN-NASR, LOT HAOUCH ATTAR APPRT N°3 DAR EL BE I DA;ALGER;Algerie;0561.65.22.30/023.81.10.35 ;023 81 10 35 ;sarl.ilb@live.fr;;;
SARL IMP EXP FRERES OURAHMOUNE;RN N°05 CITE BEN ADJEL BOUDOUAOU W.BOUMERDES ;BOUMERDES;Algerie;  0661.288.188;;DJALIL@GROUP-OURAHMOUNE.COM;;;
SARL IMPACT ALGERIA CERAMIQUE;ZONE INDUSTRIELLE SIDI-KHALED OUED EL BERDI W.BOUIRA;BOUIRA;Algerie;026.87.38.04/06.57.53.87.87 ;;impactalgeriaceramique@yahoo.com;;;
SARL INFINITY PUB;14 RUE DJENAH ELAKHDAR KOUBA ALGER;ALGER;Algerie;0550 54 41 46;021 68 98 62;bourafa1974@gmail.com;;;
SARL INFRA CONFORT;NOUVELLE VILLE ALI MENDJELI W.CONSTANTINE;CONSTANTINE;Algerie;0659.04.85.23;;INFRACONTROL@GMAIL.COM;;;
SARL INNOVEX;129 COOP ESSELAM BIRKHADEM 2 ALGER;ALGER;Algerie;0560.05.05.29/0560.89.06.34;023.81.87.15;info@innovexalgerie.com;;;
SARL INTERNATIONAL INFRASTRUCTURE INVESTMENT;LOT N°399 SECTION N°1 BT A N°16 OULED FAYET ALGER;ALGER;Algerie;023.28.65.65;023.28.65.15;h.bahmed@alcoimmobiliere.com;;;
SARL IPP INDUSTRY PLASTIC a POLYSTYRENE;CITE BENADJEL GROUPE 5, BOUDOUAOU W.BOUMERDES;BOUMERDES;Algerie;024.74.31.99;024.74.32.00;;;;
SARL IZOYENISOLATION;04 RUE ABDOU MOHAMED EL MOURADIA 16070;ALGER;Algerie;;;;;;
SARLKPLAST;CITE DU 1 er NOVEMBRE 1954 BATIMENT D02 N°01 SETIF;SETIF;Algerie;0770 47 42 43 ;021 24 08 45;bureau_alger@groupekplast.com  kplast2000@groupekplast.com;;;
SARL KECHICHI TERASTONE;LOCAL IT 02 MECHTA LEHMAMID EL BARDAA COMMUNE DE BELAIBA M'SILA;M'S I LA;Algerie;0661 37 23 18 ;;groupekechichi@gmail.com;;;
SARL KEMOUCHEPVC;Z.AALOT 287 N°177 EL EULMA;SETIF;Algerie;0550.78.35.79;;SARL.KELOUCHE@GMAIL.COM;;;
SARL KHALIFA BESTGLASS;RUE DES FRERES MEEMER KOLEIA TIPAZA;TIPAZA;Algerie;024.36 60 56/57 ;024.36 60 58 ;khalifa_b.glass@yahoo.fr;;;
SARL KHEOPS BA TIMENT;117 PARC BEN OMAR KOUBA ALGER;ALGER;Algerie;555529915;;KHEOPS.BATIMENTS@GMAIL.COM;;;
SARL KING WA YS INTERNA TIONAL;KARA MUSTAPHA SECTION 07 GROUPE PROP 257 OULED MOUSSA W.BOUMERDES;BOUMERDES;Algerie;023.86.08.39/0560.63.60.08;023.86.08.39;king.contact@yahoo.com/KWIN.CONTACT@YAHOO.COM;;;
SARL KNDECO;SECTION 07 ILLOT 20 LACHBOUR COMMUNE EL YACHIR W.BORDJ BOUARRERIDJ;BORDJ-BOU-ARRERIDJ;Algerie;0554.98.86.01 ;035.72.10.30 ;kn de coo@yahoo.fr;;;
SARL KSBAHNET;96, LOTISSEMENT EL BINA DELY IBRAHIM ALGER;ALGER;Algerie;0660 304 806/0661.508.720/023.304.040;023 30 41 41;info@ksbahnet.COM;;;
SARL LEADER ALUMINIUM;CITE BEN AMMAR LOT N° 025.DCV 01 EPE;ALGER;Algerie;0555.04.26.04/0561.66.77.84;;;;;
SARL LGMB FACADE;CITE 300 LOGTS AIN MLILA W.OUM EL BOUGHI;OUM-EL-BOUAGHI;Algerie;0550.28.92.17;032.50.14.62;LGMBFA@GMAIL;;;
SARL LOMARHOLDING;HAY EL CHAHID BELKACEM GROUPE 01 LOT 05 (EX. CITE DES TRAVAILLEURS) DAR EL BE I DA ALGER;ALGER;Algerie;023.74.74.48;021 50 62 05;glm1@live.com/info@lomarholding.net;;;
SARL LOTA;HA I KHMISTI CITE 90 LOGEMENTS BLOC C 20/A 1er ETAGEAKID LOTFI W.ORAN;ORAN;Algerie;041 62 14 07/0770932.632 ;041 62 14 07;;;;
SARL LOTUS SAT;ZONE INDUSTRIELLE M'SILA 28000;M'S I LA;Algerie;035 36 53 53;035.36.53.35;daf@lotus-metal.com/COMMERCIAL.01@LOTUS-METAL.COM;;;
SARL LOVAL;300 KIFFANE CENTRAL LES DAHLIAS 13000 W.TLEMCEN;TLEMCEN;Algerie;043.27.80.80;043.27.70.70;;;;
SARL LUXYLED;ZONE INDUSTRIELLE MOUDJEBEUR ROUTE TRANAHARIENNE 26033 MEDEA;MEDEA;Algerie;025.700.302;025 70 03 02;NB@LUXY-LIGHTING.CO;;;
SARL MAGHREB TRAILER INDUSTRIE;FERME MUNICH ROUTE NATIONALE Z I OUED SMAR DAR EL BEIDA ALGER;ALGER;Algerie;021 50 60 29;021 50 53 49;setif.mti@gmail.com;;;
SARL MANCERETBA TTAZ;CITE 160 LOGTS RUE 1er NOV 1954 EL EULMA 19600;SETIF;Algerie;0550 98 02 51 ;;z-itou@live.fr;;;
SARL MANYL MACHINERY;CCA EL QODS BU 08-07 CHERAGA ALGER;ALGER;Algerie;021.34.73/74;021.34.11.66;CONTACT@MANYL-MACHINERY.NET;;;
SARL MARGUS MAGHREB;LOT 123 PLAN CADASTRE 23 BENFRIA W.ORAN;ORAN;Algerie;0660.57.59.05;;;;;
SARLMATHYD;CITE SONELGAZ 2 N°286 GUE DE CONSTANTINE ALGER;ALGER;Algerie;023.52.43.47;023.52.43.47;CONTACT@MATHYD.NET;;;
SARL MORTEXIA;ZONE INDUSTRIELLE N°28 KSAR EL BOUKHARI;MEDEA;Algerie;0560 13 33 41/0555 62 60 63 ;;contact@mortexia.com;;;
SARL MOUTONRIVOMAFRICA;CENTRE COMMERCIAL GARE ROUTIERE BEN OMAR LOCAL N°03;ALGER;Algerie;021 54 31 61/63; 021 56 13 01;sarlmouton-rivom@hotmail.com;;;
SARL NACICO;CITE DJAMMA LAKHDAR GHELGHOUM LAID W.MILA;MILA;Algerie;031.53.62.42/0550.59.87.02;031.52.68.89;K.LOUTANI@NACICO-CHEMICALS.COM;;;
SARL NAIL INDUSTRIE;ZONE INDUSTRIELLE ET D'ACTIVITES B04/18 W.DJELFA;DJELFA;Algerie;0550.68.54.81;027.91.32.43;IMADALOUSAMIR@YAHOO.COM;;;
SARL NETIS;19 RUE ADOUI ISMAIL SMK CONSTANTINE;CONSTANTINE;Algerie;031.74.02.17;031.74.02.16;netis25@yahoo.fr;;;
S/1 RL NEW BLACKS TONE;SEC N 02 LOT 102L/C N 03 TIDJELABINE;BOUMERDES;Algerie;;;;;;
SARL NEWMARBRECONTINENTAL;01 ROUTE DALGER KHAZROUNA W. BLIDA;BLIDA;Algerie;025.27.00.47/0560.04.41.11 ;;khermouchemohamed@hotmail.fr / contact@newmarbreconti nental.com;;;
SARL NEW PAINTS;CITE KHEMISTI LOTIS 407 LOT BIR EL DJIR W.ORAN ;ORAN;Algerie;0560.235.613;;BOUCHIKHIDJAMEL@YAHOO.FR;;;
SARL NOUREL MOUBINE;Z.DACTIVITE RUALE LOT 287 LOTS N°129 EL EULMA;SETIF;Algerie;0551 52 04 11 ;036 76 30 57 ;sbf-import@live.com;;;
SARL NOVA CARPENTERIA ORAN;HA I KHEMISTI EL DJADID ILOT 13 N°02-05 FRONT DE MER CANASTEL W.ORAN;ORAN;Algerie;0561.91.67.01;;NOVA.MEUBLE@OUTLOOK.FR;;;
SARL NTF;COMPAGNE SEMMAR I LOT 851 BIRKHADEM ALGER;ALGER;Algerie;023.59.74.94/0770.147.386;023.59.76.85;contact @ntf_dz.com/COMMERC IAL.NTF@GMAIL.COM;;;
SARL NURAL PVC ET FACADE SYSTEM;N 19 B ROUTE DE AIN TAYA ROUIBA ALGER;ALGER;Algerie;0552.425.606/0552 42 56 06 ;;maxwintr@gmail.com/a.akol@nur-is.com;;;
SARL PANDA BROSSE;CITE LES ORANGES GROUP B/D LOT 210 HAMIZE DAR EL BAIDA ALGER;ALGER;Algerie;0777.95.08.96 ;;panda_brosse@hotmail.fr;;;
SARL PEINTUREMIDY2;LOT N°07 ZONE d'activite Zeralda alger;ALGER;Algerie;023.20.81.80;023 20 81 87;peinture.midy@yahoo.com;mydipeinture2000@yahoo.fr;;
SARL PENGPUALGERIE;ZONE D'ACTIVITE OUELD MOHAMED 127 CHLEF;ALGER;Algerie;;;;;;
SARL PLASTUB;BP 60 ZONE INDUSTRIELLE GT BOUNOURA - GHARDAIA;GHARDAIA;Algerie;029.87.34.76;029.87.30.17;;;;
SARL POL YBETON;LOCAL 01 KHERMAME CNE BENZOUH N°148 W.BOUSSAADA 28001;M'S I LA;Algerie;035.47.07.10;035.47.07.10  ;sarlpolybeton@yahoo.fr;;;
SARL POL YMERS SYSTEME;RUE 11 N°04 ALGER PLAGE BORDJ EL BAHRI ALGER;ALGER;Algerie;023.95.24.99/0558.83.79.20 ;;sarlpolymerssysteme.dz@gmail.com;;;
S/1 RL POL YS TYRENE DES OA SIS;CITE OULED ALI KHEMIS EL-KHECHNA WILAYA BOUMERDES;BOUMERDES;Algerie;023 75 72 35;023 75 72 35;polystyrene.oasis@gmail.com;;;
SARL PROCLAR;CITE BEN MERRAD LOT N°134 SEC 03 BORDJ EL KIFFANE ALGER;ALGER;Algerie;;;;;;
SARL PROPHEXSOLUTIONGROUPE;SOFRA NORD LOT N°12 GP3 EL HAMIZ DAR EL BE I DA ALGER;ALGER;Algerie;0561.69.83.73 ;021 87 87 62;info@prophex-dz.com/marketing@prophex-dz.com;;;
SARL RESSAL AGLOBITON;HAMMAM DA LA A ILAYA W.M'SILA;M'S I LA;Algerie;0560.22.05.43;;SARL RESSALAGLOBITON@GMAIL.COM;;;
SARL RICARDO MOLINA ALGERIE;Zone Industrielle BENI HAMDINE N°66 Eucalyptus 16220 -Alger;ALGER;Algerie;0560.95.92.14;;dalila@ricardomolina.com;;;
SARL ROB ISA N;HAY BABA ALI LOOCAL N°4 BIRTOUTA ALGER;ALGER;Algerie;0770 42 60 30 ;;info@robisan-dz.com;;;
SARL ROLUX;QUARTER MERDJA CHEKIR BP34 MEDEA CDD;MEDEA;Algerie;0560/90/63/97/025 78 81 99 ;025 78 81 99;bouzemlal@decohome-dz.com;;;
SARL ROYAL TIGRA;CITE M'ZARAA SECTION N°01 GROUPE PN49 OULAD MOUSSA W.BOUMERDES;BOUMERDES;Algerie;0661.26.52.30/0770.13.57.51;;HANIFI.HAKIM@HOTMAIL.COM;;;
SARL SAFCER;Zone Industrielle N° 15 BP 90 19000 W.SETIF;SETIF;Algerie;036 93 81 81/93.65.65/93.86.33 ;036 93 65.65; dg@groupesafcer.com;;;
SARL SALAMA PVC;N°100 ZONE INDUTRIELLE CITE KECHIDA W.BATNA;BATNA;Algerie;033.22.39.54;033.22.39.49;salama_pvc@yahoo.com;;;
SARL SAPPEC PEINTURE IMPORT EXPORT;CITE DJAMAA LAKHDAR CHELGHOUM LAID .W.MILA;MILA;Algerie;031 53 62 42;031 53 62 42;contact@sapper-dz.com;;;
SARL SBS SITIFIS BRIQUETERIE;ZONE INDUSTRIELLE N°17 BIS W.SETIF;SETIF;Algerie;036.62.55.26;;GROUPE_BOURAS@YAHOO.FR;;;
SARL SCOA ECLAIRAGE;6         BD AHMED BEN ABDERREZAK ORAN;ORAN;Algerie;;;;;;
SARL SDMB;COOP HADJAM MOHAMED N 14 ZONKA BIRKHADEM;ALGER;Algerie;023 57 55 03;023 57 55 03;;;;
SARL SEMIN ALGERIE;RUE BOUMEDAOUI NACER CITE SOMACOB BT A05 06000 W.BEJAIA;BEJAIA;Algerie;34          120 160;034.12 01 60;lounis.nadir@free.fr/contact@semin-algerie.com;;;
SARL SITIBTALGERIE;01 RUE AHMED EL AFFER LOT 13 ZEDEK BEN AKNOUNE ALGER;ALGER;Algerie;0557 76 90 41 ;;sandra.bellvis@bt-iberica.net;;;
SARL SMEIMAMMERIE;Z.l N° B52 LOT 03 KECHIDA BATNA;BATNA;Algerie;;;;;;
SARL SMOFE;51, RUE HAMADOU TORKI CITE TUDJENE SETIF ALGERIE B.P 463 BIS;SETIF;Algerie;036 82 50 50;036 82 53 53;apro@smofe.com;;;
SARL SOCIETEHADDALENE;LOTISSEMENT BERCHICHE N°12 W.TIZI-OUZOU;TIZI-OUZOU;Algerie;0551.04.31.52;;;;;
SARL SOCOPE;PINS MARITIMES FACE HOTEL HILTON MOHAMMADIA ALGER;ALGER;Algerie;023 79 56 80-81 ;023 79 56 79 ;;socopedz.com;;Melle.BOUSMAHA KARIMA / 0550.25.57.03 0555.30.40.27 Mme.lFRAH 0550.58.61.43/
SARL SOFCONTRA;LOT N°15 EXTENTION Z.l REMCHI B.P N°156 CERISIER TLEMCEN;TLEMCEN;Algerie;040 91 99 45/040 91 99 37 ;043 43 50 60 ;contact@sofcontra.net ;www.sofcontra.com;;
SARL SOGIMREC;CITE LES ORANGERS N°133 DAR EL BEIDA ALGER;ALGER;Algerie;;;;;;
SARL SOMODAL;Z D ARU EL BEY N 45 A ALI MENDJEL;CONSTANTINE;Algerie;0560.55.10.07;;COMMERCIAL@SOMODAL-DZ.COM;;;
SARL SPRINT PORTE;01 CHEMOUMA NOUVELLE COPPERATIF EL FERDAOUS LOC N°2 W.MOSTAGANEM;MOSTAGANEM;Algerie;0550.53.62.91 ;;sprint.porte@hotmail.com;;;
SARL STEEL EXPORT SERVICE- SES;ROUTE DE BLIDA - CHEMIN DE BERBESSA BP. 233 KOLEA;TIPAZA;Algerie;020.50.42.96 - 024.48.12.81/87;020.50.42.16/021.36.42.49/024.48.12.49;davidbeauvois@yahoo.fr;;;
SARL SUDETANCHE;34       RUE ABOU NOUASS HYDRA ALGER;ALGER;Algerie;025 39 48 18/0770 53 14 76 ;; sarl_sudetanche@yahoo.fr;www.sudetanche.com;;
SARL TACHERIFTFRERES;70, ROUTE D'AIN-TAYA - ROUIBA .;ALGER;Algerie;0661 52 95 54 ;021 81 34 97 ;tacheriftsarl@hotmail.com;;;
SARL TAOUAB;VILLA 38 RUE OMAR BOURSAS VIEUX KOUBA ALGER;ALGER;Algerie;0560 99 60 59/023 60 22 42 ;023 60 24 41;m.hafiz@taouab.com/commercial@taouab.com;;;
SARL TECHNO CAST;ZONE URBAINE LOTISSEMENT N 02 AHMED ZABANA;TIPAZA;Algerie;024.30.84.99;024.30.84.99;kenza.djouama@technocast@technocast.dz;;;
SARL TECHNOCERAM;ROUTE NATIONALE 03 FESDIS W.BATNA;BATNA;Algerie;033.20.82.05;033.80.82.10;technoceram@yahoo.com/;;;
SARL TECHNOLOGIE.KNM;SIEGE SOCIAL PROMOTION NEGUEG 14 LOG B CITE ADM M'SILA 28000;M'S I LA;Algerie;035 33 87 45/0699.66.50.05; 035 33 87 45 ;neguezknm@yahoo.fr;;;
SARL TECHNOSA T;ZONE INDUSTRIIELLE GARTTAM BOUNORA GHARDAIA;GHARDAIA;Algerie;029.27.23.71;029.23.27.68;TECHNOSATGH@ YAHOO.FR;;;
